,word_1,word_2,word_3,word_4,word_5,word_6,word_7,word_8,word_9,word_10,word_11,word_12,word_13,word_14,word_15
topic_1,worker,people,education,income,job,labor,opportunity,research,student,college,school,community,family,program,employment
topic_2,payment,pandemic,service,people,going,covid,payment system,thing,sector,back,technology,want,look,public,central
topic_3,productivity,real,inflation,output,effect,cost,investment,demand,interest rate,model,capital,potential,technology,uncertainty,however
topic_4,inflation,labor,monetary policy,unemployment,labor market,employment,outlook,month,unemployment rate,data,longer,target,expectation,condition,last
topic_5,community,credit,loan,consumer,community bank,banking,small,service,lending,institution,data,small business,development,access,banker
topic_6,institution,banking,government,company,deposit,insurance,problem,cost,firm,large,holding,activity,asset,transaction,fund
topic_7,mortgage,housing,home,household,debt,country,fiscal,spending,global,investment,capital,recovery,income,united,trade
topic_8,capital,firm,banking,regulatory,stress,crisis,requirement,institution,regulation,financial system,stability,financial stability,supervisory,liquidity,supervision
topic_9,asset,fund,security,treasury,credit,balance,sheet,balance sheet,liquidity,purchase,interest rate,crisis,program,short,short term
topic_10,monetary policy,inflation,central,central bank,rule,goal,stability,expectation,interest rate,public,policymakers,communication,framework,target,objective
