year,fk_grade,fog_index,sentiment_score,hawkish_density,dovish_density,uncertainty_index
1993,13.85,17.59,6.0,12.41,3.1,11.25
1995,187.01,195.38,2.81,5.01,1.69,18.63
1996,87.34,93.16,1.98,5.51,1.68,18.6
1997,14.63,18.64,2.12,6.47,2.27,15.95
1998,13.77,17.71,0.79,4.26,2.9,17.8
1999,13.67,17.6,0.75,4.07,2.82,18.8
2000,23.84,28.03,1.21,5.06,2.56,16.65
2001,19.25,23.39,-0.61,3.01,3.5,18.8
2002,15.45,19.59,-2.61,2.52,4.21,17.29
2003,13.79,17.87,-1.35,4.82,4.38,19.51
2004,14.08,18.11,-0.23,4.47,3.12,18.02
2005,13.99,17.96,1.12,4.98,2.37,19.5
2006,14.08,17.98,1.88,6.5,2.34,20.31
2007,14.24,18.15,1.86,6.81,2.58,20.16
2008,14.86,18.56,0.28,5.63,3.3,19.45
2009,14.79,18.41,-1.76,3.78,4.97,18.27
2010,13.82,17.69,-2.27,3.57,5.86,17.41
2011,13.5,17.44,-1.24,6.09,6.11,16.75
2012,13.5,17.37,-2.11,4.84,6.64,17.16
2013,13.53,17.33,-1.93,4.63,6.37,17.83
2014,13.52,17.4,-0.7,6.71,5.81,17.62
2015,13.48,17.28,0.67,8.34,5.34,18.03
2016,13.93,17.77,-0.14,6.15,4.99,20.13
2017,13.62,17.41,-0.72,5.63,4.71,16.4
2018,13.46,17.29,0.03,5.84,4.04,17.2
2019,13.02,16.88,-0.41,6.19,4.44,16.8
2020,13.53,17.32,-4.28,3.31,4.77,14.9
2021,12.77,16.53,-1.89,6.16,4.16,13.84
2022,12.45,16.25,1.76,10.69,4.25,13.56
2023,25.16,29.26,2.53,11.06,3.86,15.54
2024,14.44,18.26,2.22,10.67,4.0,16.88
2025,12.82,16.7,3.32,10.74,3.12,19.83
